model,resp_id,orig_idx,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label,doc_id,summ_model
tofueval_Qwen2.5-0.5B-Instruct,53,53,2.2659976482391357,57,0.07546750456094742,0.08550668507814407,"[-0.024930415929064333, -0.009450349714984839, -0.05061796527323231, -0.013545021257493971, -0.23083249199880174]","[0.001160255192173696, 0.003972799269448794, 0.0022629114790649048, 0.0026110886449858205, 0.04687013663051562]",1,AlamedaCC_07162019_2019-6992,model_E
tofueval_Qwen2.5-0.5B-Instruct,54,54,2.9876387119293213,54,1.4647718667984009,0.29421746730804443,"[-0.014055136306625273, -0.00042853541499762623, 0.06312856956005648, 0.3374289441422594, 0.42821272689400725]","[0.03830960983729407, 0.019309219321156788, 0.0431067639863748, 0.06362931558746991, 0.09003083333525999]",1,AlamedaCC_07202021_2021-1128,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,55,55,1.2069863080978394,94,2.704407215118408,0.3484737277030945,"[-0.005359662652289386, 0.037885473077930075, 0.35595200959958556, 1.0244917198582544, 1.199835124558144]","[0.017748977317893377, 0.01809006713633571, 0.05431890400177508, 0.12403715219693368, 0.14334469757762022]",1,AlamedaCC_07202021_2021-1128,model_A
tofueval_Qwen2.5-0.5B-Instruct,56,56,2.0407979488372803,37,1.8700623512268066,0.2856122851371765,"[0.33894396651334857, 0.45777567145037085, -0.00035485205857234224, 0.049214406639048074, 0.024235836909832182]","[0.0806941208402104, 0.09618069890397286, 0.02412987733863259, 0.0033685375300273016, 0.006466878061031378]",0,AlamedaCC_07202021_2021-1128,model_B
tofueval_Qwen2.5-0.5B-Instruct,57,57,1.5019687414169312,110,2.220736503601074,0.28155001997947693,"[0.2011535164603794, 0.09356900244390338, 0.16757338055864568, 0.8093890047846468, 0.5471032216086645]","[0.04773768632211903, 0.025805783552227075, 0.029133005075043045, 0.07167382233256749, 0.0962817145782124]",1,AlamedaCC_07202021_2021-1128,model_C
tofueval_Qwen2.5-0.5B-Instruct,58,58,1.7588027715682983,50,2.9266719818115234,0.306924432516098,"[0.7373179660271854, 0.06059244923759252, -0.0541023973422125, 0.7579227260081097, -0.03343875388614834]","[0.08835381560316818, 0.032259245431996535, 0.020275202768079908, 0.06464948113338323, 0.017484068231460696]",1,AlamedaCC_07202021_2021-1128,model_D
tofueval_Qwen2.5-0.5B-Instruct,59,59,1.2927433252334595,85,2.2782015800476074,0.3191773593425751,"[0.22414074080708601, 1.726015200305504, 0.19705371602782074, -0.01914886665466945, 0.007294594006163928]","[0.03732759109252383, 0.2345387126176587, 0.0418295301434428, 0.0031812880420582536, 0.00245974742231818]",1,AlamedaCC_07202021_2021-1128,Model-Extra
tofueval_Qwen2.5-0.5B-Instruct,60,60,1.4753795862197876,35,2.96649432182312,0.33739686012268066,"[-0.0530834376841085, 1.6486290239063757, 0.6016656983065851, 0.06675603471646485, 0.05036244987817814]","[0.03468394730745266, 0.1718165847855354, 0.06328913794178724, 0.0020342802054561355, 0.004524832073002472]",1,AlamedaCC_07202021_2021-1128,model_A
tofueval_Qwen2.5-0.5B-Instruct,61,61,1.1180579662322998,141,2.247398853302002,0.30876877903938293,"[-0.015098592036796204, 0.11435477207425643, 0.21097583917404297, 0.805094501610056, 0.8613698218834659]","[0.01643059402997567, 0.04149802475462369, 0.03070330395553517, 0.09657029864220731, 0.12048682009679716]",1,AlamedaCC_07202021_2021-1128,model_B
tofueval_Qwen2.5-0.5B-Instruct,62,62,1.4292536973953247,105,1.9343363046646118,0.2865491509437561,"[0.31899135437984333, 0.549085135317143, 0.624286781898562, 0.24264340851902186, -0.01519867964846396]","[0.06647284416653747, 0.07372155466394448, 0.07691973920801891, 0.0433998414078678, 0.006232988014101336]",1,AlamedaCC_07202021_2021-1128,model_C
