model,resp_id,orig_idx,domain,mean_surprisal,n_ans,gap,jsd_noctx,chunk_drops,chunk_jsds,label
ragbench_Qwen2.5-0.5B-Instruct,51,51,finqa,1.2194883823394775,89,0.13698183000087738,0.06184246391057968,"[-0.011481588046142329, -0.041329691887655284, 0.18812179761896894, -0.00852331730832733, -0.019400146284292378]","[0.0014720594879491637, 0.004749026847742682, 0.04181347880990216, 0.0023344956012612346, 0.0019959613854951567]",1
ragbench_Qwen2.5-0.5B-Instruct,52,52,hotpotqa,1.5476573705673218,28,1.2684072256088257,0.1708986908197403,"[-0.053230640229620416, 0.04321268755107407, -0.02343762196921619, 1.0366237529753042, 0.04820672298826269]","[0.015257256302642677, 0.01116403996201955, 0.015788511369245434, 0.1387724274500215, 0.024622799057330065]",1
ragbench_Qwen2.5-0.5B-Instruct,53,53,pubmedqa,1.0730278491973877,62,0.9227569103240967,0.15962466597557068,"[0.8036497951322799, -0.020418196456141173, 0.004615285323339894, -0.0715317071628247]","[0.10922296661497498, 0.003358092600437555, 0.0038213472998501357, 0.011404192557920067]",1
ragbench_Qwen2.5-0.5B-Instruct,54,54,techqa,1.3279553651809692,200,0.048910416662693024,0.019941484555602074,"[-0.02265686911994635, -0.015205835356391617, -0.0008703126553336915, -0.016502350852861128, -0.012073181049272535]","[0.0038222492392247886, 0.0034382508436874557, 0.0014701690818043288, 0.003397050842667113, 0.001586872209866783]",1
ragbench_Qwen2.5-0.5B-Instruct,55,55,pubmedqa,0.9655548930168152,104,1.391574740409851,0.20121195912361145,"[0.706751185639055, -0.035498578073831874, 0.5232553823414212, 0.03357197470988747, 0.02153993674353562]","[0.09511228120181578, 0.013430505891916548, 0.06411005066279948, 0.005408149725381096, 0.002541252851841591]",1
ragbench_Qwen2.5-0.5B-Instruct,56,56,pubmedqa,1.5157067775726318,112,1.062016248703003,0.14819662272930145,"[0.4999769768012681, -0.008728793241938806, -0.007888566054232018, 0.2814771418416707]","[0.07016725022061467, 0.014132714100321258, 0.014605992113056385, 0.032604567376158196]",1
ragbench_Qwen2.5-0.5B-Instruct,57,57,hotpotqa,0.9330487251281738,28,-0.2015329748392105,0.05403878912329674,"[-0.021658546506192318, 0.057316297238035725, -0.015727529806099483, 0.045409473916411765, -0.007249586037037911]","[0.008836043891554774, 0.05460055814390736, 0.018166052967870883, 0.020071014051885477, 0.01882747526420709]",1
ragbench_Qwen2.5-0.5B-Instruct,58,58,hotpotqa,1.1871882677078247,21,-0.18085074424743652,0.08053573966026306,"[0.1265477731247388, 0.05378071720146441, -0.03959555228772972, 0.14308163790874892, 0.37206519288676126]","[0.014044148377468531, 0.009853217203185306, 0.050915749978490306, 0.014226219802713743, 0.022444936531558466]",1
ragbench_Qwen2.5-0.5B-Instruct,59,59,pubmedqa,1.1625678539276123,135,0.8155726790428162,0.18980757892131805,"[-0.08062100599823108, 0.1723578936892712, 0.6356120924421904, 0.2841525366460364, 0.008812363103350906]","[0.010757985676309544, 0.039576279246661954, 0.09941510885063744, 0.058739795542551626, 0.012867609477343986]",1
ragbench_Qwen2.5-0.5B-Instruct,60,60,finqa,0.7951076030731201,175,0.09339403361082077,0.04389240965247154,"[-0.0060984158061260785, -0.010954971376494151, -0.009417340599215354, 0.11638081375035783, 0.0024334840243929127]","[0.0008629715316848368, 0.000562447499385306, 0.0007922457279801165, 0.033522043152188416, 0.0015565031880463817]",1
ragbench_Qwen2.5-0.5B-Instruct,61,61,pubmedqa,1.1070995330810547,90,0.7172403931617737,0.13884902000427246,"[0.5942204693420838, 0.24373254189916527, 0.06390127110364321, 0.02881494215493553]","[0.07677468181462928, 0.04680502908205995, 0.010225521346669413, 0.006236151711559993]",1
ragbench_Qwen2.5-0.5B-Instruct,62,62,pubmedqa,1.406874179840088,200,0.5353522300720215,0.1353624016046524,"[0.10010307031305274, 0.40822112709511205, -0.029034668963086006, -0.04613134318224184, -0.05121628413848157]","[0.039303985494650535, 0.06941457077812857, 0.014474660728800614, 0.014151850200319416, 0.006889160203630524]",1
ragbench_Qwen2.5-0.5B-Instruct,63,63,pubmedqa,1.2250275611877441,88,0.6074318885803223,0.1243043839931488,"[0.46289422523353674, 0.04330097279307665, 0.05883868416466695, 0.012346691752885487, 0.046642228082935784]","[0.04778495199571318, 0.009082792036077142, 0.015114447833108809, 0.029109330971204758, 0.009210066983628322]",1
ragbench_Qwen2.5-0.5B-Instruct,64,64,pubmedqa,1.1465976238250732,141,0.5866531729698181,0.10050520300865173,"[0.20964258586371615, 0.044262712599783115, 0.18141677140165677, 0.008406627853044947, 0.00898121621010574]","[0.020492681340932104, 0.01805499832798419, 0.0232422120918324, 0.005039883044810912, 0.00448010568188112]",1
ragbench_Qwen2.5-0.5B-Instruct,65,65,pubmedqa,0.6841146945953369,186,1.1818888187408447,0.17545688152313232,"[0.5374482344258594, 0.008241888862538804, 0.3389151157484482, 0.31644383801424847, 0.014178975721704538]","[0.08805155953430302, 0.0035643920860851056, 0.0444508780035091, 0.03599150551133678, 0.004327817260866015]",1
ragbench_Qwen2.5-0.5B-Instruct,66,66,pubmedqa,1.3969058990478516,115,0.38866934180259705,0.0883471891283989,"[0.04359728487907373, 0.36451490742672177, -0.004836104499283623, 0.012432105062030923, -0.010140172649791725]","[0.009913597070138157, 0.06048376894346943, 0.004742341657608731, 0.0036018298722182082, 0.003940566458023869]",1
ragbench_Qwen2.5-0.5B-Instruct,67,67,pubmedqa,1.1973390579223633,148,0.7446275949478149,0.14113549888134003,"[0.4690746605516766, 0.02810874566497002, 0.24689338110721876, -0.004572459068311685]","[0.08864454519663148, 0.020566365747260083, 0.03723777558421093, 0.006535340332022305]",1
ragbench_Qwen2.5-0.5B-Instruct,68,68,pubmedqa,0.7815845012664795,200,1.2824151515960693,0.23096631467342377,"[0.057468066743936105, 0.32929242988178886, 0.664634411130719, 0.03496341984080118]","[0.008756032144718517, 0.0419641816730018, 0.13630161143794794, 0.013409367662798672]",1
ragbench_Qwen2.5-0.5B-Instruct,69,69,hotpotqa,0.7973363399505615,23,-0.05096779763698578,0.021275924518704414,"[0.16889719515887444, 0.13453795815746122, 0.14793109987435263, 0.08985084115485496]","[0.02904405626697242, 0.012123272011412273, 0.010199553009531724, 0.005863130631931436]",1
ragbench_Qwen2.5-0.5B-Instruct,70,70,finqa,0.8508567214012146,95,0.38567665219306946,0.10017615556716919,"[-0.010109459784464554, 0.03762267145833496, 0.03892512287342302, 0.27589810257372127, 0.02612406409540965]","[0.0055400489522957, 0.002903054986711296, 0.002603645772809895, 0.06429648400062374, 0.0036412168370609857]",1
ragbench_Qwen2.5-0.5B-Instruct,71,71,techqa,1.4406574964523315,118,0.03278246894478798,0.022913796827197075,"[0.00331589332998161, -0.029922011237200206, 0.026298449890765692, 0.0051503587408861075]","[0.0036191665859493147, 0.003885196149935615, 0.004044521223306674, 0.0011296314547301614]",1
ragbench_Qwen2.5-0.5B-Instruct,72,72,pubmedqa,0.9370337724685669,199,0.7332361936569214,0.15440639853477478,"[0.01685422058053244, 0.10160298449216443, 0.2615433110583933, 0.20722270678570612, 0.0897009692500122]","[0.006755358425680394, 0.04125282205568076, 0.03939089597534462, 0.03314244284385624, 0.026859340962887907]",1
